Device,Bus Voltage (V),Shunt Voltage (V),Current (A),Power (W),Timestamp
CCTV,4.864,0.242,2.422,11.7826,2024-11-23 22:07:24
CCTV,4.888,0.243,2.432,11.8876,2024-11-23 22:07:25
CCTV,4.888,0.244,2.438,11.9189,2024-11-23 22:07:26
CCTV,4.888,0.244,2.435,11.9033,2024-11-23 22:07:27
CCTV,4.888,0.244,2.438,11.9189,2024-11-23 22:07:28
CCTV,4.888,0.244,2.442,11.9345,2024-11-23 22:07:29
CCTV,4.888,0.244,2.445,11.9502,2024-11-23 22:07:30
CCTV,4.888,0.244,2.442,11.9345,2024-11-23 22:07:31
CCTV,4.888,0.245,2.454,11.9971,2024-11-23 22:07:32
CCTV,4.888,0.244,2.435,11.9033,2024-11-23 22:07:33
CCTV,4.880,0.244,2.442,11.9150,2024-11-23 22:07:34
CCTV,4.880,0.244,2.442,11.9150,2024-11-23 22:07:35
CCTV,4.880,0.244,2.445,11.9306,2024-11-23 22:07:36
CCTV,4.880,0.246,2.458,11.9931,2024-11-23 22:07:37
CCTV,4.880,0.246,2.461,12.0087,2024-11-23 22:07:38
CCTV,4.880,0.244,2.442,11.9150,2024-11-23 22:07:39
CCTV,4.880,0.244,2.435,11.8838,2024-11-23 22:07:40
CCTV,4.880,0.243,2.426,11.8369,2024-11-23 22:07:41
CCTV,4.880,0.243,2.429,11.8525,2024-11-23 22:07:42
CCTV,4.880,0.244,2.438,11.8994,2024-11-23 22:07:43
CCTV,4.880,0.244,2.438,11.8994,2024-11-23 22:07:44
CCTV,4.888,0.244,2.438,11.9189,2024-11-23 22:07:45
CCTV,4.888,0.240,2.397,11.7156,2024-11-23 22:07:46
CCTV,4.896,0.235,2.346,11.4841,2024-11-23 22:07:47
CCTV,4.896,0.235,2.352,11.5154,2024-11-23 22:07:48
CCTV,4.896,0.236,2.355,11.5311,2024-11-23 22:07:49
CCTV,4.896,0.235,2.352,11.5154,2024-11-23 22:07:50
CCTV,4.896,0.236,2.358,11.5467,2024-11-23 22:07:51
CCTV,4.896,0.236,2.365,11.5781,2024-11-23 22:07:52
CCTV,4.896,0.237,2.368,11.5937,2024-11-23 22:07:53
CCTV,4.896,0.235,2.352,11.5154,2024-11-23 22:07:54
CCTV,4.896,0.235,2.346,11.4841,2024-11-23 22:07:55
CCTV,4.888,0.253,2.531,12.3725,2024-11-23 22:07:56
CCTV,4.896,0.235,2.346,11.4841,2024-11-23 22:07:57
CCTV,4.896,0.235,2.352,11.5154,2024-11-23 22:07:58
CCTV,4.896,0.236,2.355,11.5311,2024-11-23 22:07:59
CCTV,4.896,0.235,2.346,11.4841,2024-11-23 22:08:00
CCTV,4.880,0.253,2.534,12.3679,2024-11-23 22:08:01
CCTV,4.880,0.254,2.538,12.3835,2024-11-23 22:08:02
CCTV,4.912,0.235,2.349,11.5373,2024-11-23 22:08:03
CCTV,4.888,0.236,2.355,11.5122,2024-11-23 22:08:04
CCTV,4.880,0.242,2.419,11.8057,2024-11-23 22:08:05
CCTV,4.880,0.246,2.458,11.9931,2024-11-23 22:08:06
CCTV,4.856,0.251,2.506,12.1672,2024-11-23 22:08:07
CCTV,4.880,0.247,2.467,12.0399,2024-11-23 22:08:08
CCTV,4.880,0.244,2.442,11.9150,2024-11-23 22:08:09
CCTV,4.880,0.244,2.438,11.8994,2024-11-23 22:08:10
CCTV,4.880,0.244,2.438,11.8994,2024-11-23 22:08:11
CCTV,4.848,0.267,2.669,12.9383,2024-11-23 22:08:12
CCTV,4.864,0.263,2.634,12.8098,2024-11-23 22:08:13
CCTV,4.864,0.262,2.624,12.7631,2024-11-23 22:08:14
CCTV,4.896,0.243,2.426,11.8757,2024-11-23 22:08:15
CCTV,4.880,0.243,2.429,11.8525,2024-11-23 22:08:16
CCTV,4.888,0.244,2.445,11.9502,2024-11-23 22:08:17
CCTV,4.864,0.263,2.627,12.7787,2024-11-23 22:08:18
CCTV,4.872,0.263,2.634,12.8309,2024-11-23 22:08:19
CCTV,4.872,0.263,2.630,12.8153,2024-11-23 22:08:20
CCTV,4.872,0.264,2.643,12.8777,2024-11-23 22:08:21
CCTV,4.904,0.245,2.451,12.0207,2024-11-23 22:08:22
CCTV,4.888,0.245,2.454,11.9971,2024-11-23 22:08:23
CCTV,4.880,0.245,2.451,11.9619,2024-11-23 22:08:24
CCTV,4.888,0.243,2.432,11.8876,2024-11-23 22:08:25
CCTV,4.896,0.243,2.432,11.9071,2024-11-23 22:08:26
CCTV,4.896,0.236,2.365,11.5781,2024-11-23 22:08:27
CCTV,4.896,0.235,2.349,11.4997,2024-11-23 22:08:28
CCTV,4.896,0.235,2.349,11.4997,2024-11-23 22:08:29
CCTV,4.896,0.235,2.346,11.4841,2024-11-23 22:08:30
CCTV,4.896,0.235,2.346,11.4841,2024-11-23 22:08:31
CCTV,4.896,0.235,2.349,11.4997,2024-11-23 22:08:32
CCTV,4.896,0.236,2.355,11.5311,2024-11-23 22:08:33
CCTV,4.896,0.236,2.362,11.5624,2024-11-23 22:08:34
CCTV,4.896,0.235,2.349,11.4997,2024-11-23 22:08:35
CCTV,4.896,0.237,2.368,11.5937,2024-11-23 22:08:36
CCTV,4.896,0.237,2.371,11.6094,2024-11-23 22:08:37
CCTV,4.896,0.236,2.362,11.5624,2024-11-23 22:08:38
CCTV,4.872,0.256,2.557,12.4567,2024-11-23 22:08:39
CCTV,4.896,0.235,2.346,11.4841,2024-11-23 22:08:40
CCTV,4.896,0.236,2.365,11.5781,2024-11-23 22:08:41
CCTV,4.896,0.237,2.368,11.5937,2024-11-23 22:08:42
CCTV,4.896,0.235,2.349,11.4997,2024-11-23 22:08:43
CCTV,4.896,0.235,2.346,11.4841,2024-11-23 22:08:44
CCTV,4.888,0.236,2.362,11.5435,2024-11-23 22:08:45
CCTV,4.880,0.243,2.429,11.8525,2024-11-23 22:08:46
CCTV,4.856,0.261,2.614,12.6955,2024-11-23 22:08:47
CCTV,4.880,0.245,2.448,11.9462,2024-11-23 22:08:48
CCTV,4.880,0.245,2.448,11.9462,2024-11-23 22:08:49
