Device,Mode,Bus Voltage (V),Shunt Voltage (V),Current (A),Power (W),Timestamp
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:58:46
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:58:47
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:58:48
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:58:49
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:58:50
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:58:51
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 22:58:52
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:58:53
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:58:54
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-02 22:58:55
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:58:56
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:58:57
Thermostat,Connecting,5.048,0.133,1.331,6.7199,2024-11-02 22:58:58
Thermostat,Connecting,5.056,0.134,1.344,6.7953,2024-11-02 22:58:59
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:00
Thermostat,Connecting,5.048,0.133,1.328,6.7037,2024-11-02 22:59:01
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:59:02
Thermostat,Connecting,5.056,0.134,1.341,6.7791,2024-11-02 22:59:03
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 22:59:04
Thermostat,Connecting,5.048,0.133,1.334,6.7361,2024-11-02 22:59:05
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 22:59:06
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:07
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:08
Thermostat,Connecting,5.048,0.134,1.344,6.7845,2024-11-02 22:59:09
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:59:10
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:11
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:59:12
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:13
Thermostat,Connecting,5.048,0.132,1.325,6.6876,2024-11-02 22:59:14
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:15
Thermostat,Connecting,5.048,0.135,1.35,6.8168,2024-11-02 22:59:16
Thermostat,Connecting,5.048,0.134,1.341,6.7684,2024-11-02 22:59:17
Thermostat,Connecting,5.048,0.134,1.338,6.7522,2024-11-02 22:59:18
Thermostat,Connecting,5.056,0.134,1.338,6.7629,2024-11-02 22:59:19
