Device,Bus Voltage (V),Shunt Voltage (V),Current (A),Power (W),Timestamp
Smoke Detector,5.064,0.126,1.264,6.4009,2024-11-23 22:07:24
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:25
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:26
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:27
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:28
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:29
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:30
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:31
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:32
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:33
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:34
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:35
Smoke Detector,5.064,0.126,1.258,6.3685,2024-11-23 22:07:36
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:37
Smoke Detector,5.064,0.126,1.258,6.3685,2024-11-23 22:07:38
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:39
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:40
Smoke Detector,5.072,0.126,1.258,6.3785,2024-11-23 22:07:41
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:42
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:43
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:44
Smoke Detector,5.040,0.126,1.261,6.3544,2024-11-23 22:07:45
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:46
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:47
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:48
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:49
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:50
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:51
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:52
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:53
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:54
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:55
Smoke Detector,5.040,0.165,1.651,8.3220,2024-11-23 22:07:56
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:57
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:58
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:07:59
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:08:00
Smoke Detector,5.064,0.126,1.261,6.3847,2024-11-23 22:08:01
